,source_ind,state_name,company_name,brkr_district_code,brkr_district_name,brkr_tax_dist_code,brkr_tax_dist_name,substation_id,substation_name,sub_number,master_cdf,feeder_number,operating_voltage,effective_kv_class,circuit_use,construction_class,tot_ckt_lngth_ft,tot_ckt_lngth_mi,tot_oh_lngth_ft,tot_oh_lngth_mi,tot_ug_lngth_ft,tot_ug_lngth_mi,tot_3phs_lngth_ft,tot_3phs_oh_lngth_ft,tot_3phe_ug_lngth_ft,tot_5kv_lngth_ft,tot_5kv_oh_3phs_lngth_ft,tot_5kv_oh_lngth,tot_5kv_oh_ot_lngth_ft,tot_5kv_ug_3phs_lngth_ft,tot_5kv_ug_ot_lngth_ft,tot_15kv_lngth_ft,tot_15kv_oh_3_phs_lngth_ft,tot_15kv_oh_lngth_ft,tot_15kv_oh_ot_lngth_ft,tot_15kv_ug_3phs_lngth_ft,tot_15kv_ug_ot_lngth_ft,tot_ovr15kv_lngth_ft,tot_ovr15kv_oh_3phs_lngth_ft,tot_ovr15kv_oh_lngth,tot_ovr15kv_oh_ot_lngth_ft,tot_ovr15kv_ug_3phs_lngth_ft,tot_ovr15kv_ug_ot_lngth_ft,customers_served,breaker_setting,tra_nom_ca,sub_nom_voltge,sub_tax_dist,eap_sub_id,sub_str_address,sta_config,sta_regltn,sub_long,sub_lat,sub_gps_date,tbl_load_date
709,NE,Massachusetts,Massachusetts Electric,1.0,Central,341.0,Leominster,379155711,LITCHFIELD ST,207,05_01_207W4,207W4,13.8,15000.0,Distribution,OH,45596.0,8.64,38852.0,7.36,6744.0,1.28,35229.0,29302.0,5927.0,3832.0,2961.0,3832.0,871.0,0.0,0.0,41764.0,26341.0,35020.0,8679.0,5927.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,1445.0,,0.0,0.0,341.0,01-0207,"189 LITCHFIELD ST,LEOMINSTER,MA",,,-71.745316,42.508648,,2019-07-23 04:16:29
710,NE,Massachusetts,Massachusetts Electric,1.0,Central,341.0,Leominster,379155711,LITCHFIELD ST,207,05_01_207W6,207W6,13.8,15000.0,Distribution,Mixed,166291.0,31.49,113360.0,21.47,52931.0,10.02,48048.0,37087.0,10961.0,0.0,0.0,0.0,0.0,0.0,0.0,166181.0,36977.0,113250.0,76273.0,10961.0,41970.0,0.0,0.0,0.0,0.0,0.0,0.0,2684.0,,0.0,0.0,341.0,01-0207,"189 LITCHFIELD ST,LEOMINSTER,MA",,,-71.745316,42.508648,,2019-07-23 04:16:29
711,NE,Massachusetts,Massachusetts Electric,1.0,Central,351.0,Clinton,379155720,FITCH RD.,216,05_01_216W1,216W1,13.8,15000.0,Distribution,OH,54582.0,10.34,48563.0,9.2,6019.0,1.14,37307.0,33370.0,3937.0,0.0,0.0,0.0,0.0,0.0,0.0,54582.0,33370.0,48563.0,15101.0,3937.0,2082.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.0,,0.0,0.0,351.0,01-0216,"188 FITCH RD, CLINTON, MA",,,0.0,0.0,,2019-07-23 04:16:29
712,NE,Massachusetts,Massachusetts Electric,1.0,Central,351.0,Clinton,379155720,FITCH RD.,216,05_01_216W2,216W2,13.8,15000.0,Distribution,OH,53267.0,10.09,44655.0,8.46,8612.0,1.63,34362.0,27391.0,6971.0,5564.0,0.0,5564.0,5564.0,0.0,0.0,47703.0,27391.0,39091.0,11478.0,6971.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,,0.0,0.0,351.0,01-0216,"188 FITCH RD, CLINTON, MA",,,0.0,0.0,,2019-07-23 04:16:29
713,NE,Massachusetts,Massachusetts Electric,1.0,Central,351.0,Clinton,379155720,FITCH RD.,216,05_01_216W3,216W3,13.8,15000.0,Distribution,Mixed,119306.0,22.6,70117.0,13.28,49189.0,9.32,48339.0,42645.0,5694.0,0.0,0.0,0.0,0.0,0.0,0.0,119176.0,42645.0,69987.0,27342.0,5694.0,43495.0,0.0,0.0,0.0,0.0,0.0,0.0,1734.0,,0.0,0.0,351.0,01-0216,"188 FITCH RD, CLINTON, MA",,,0.0,0.0,,2019-07-23 04:16:29
714,NE,Massachusetts,Massachusetts Electric,1.0,Central,351.0,Clinton,379155720,FITCH RD.,216,05_01_216W4,216W4,13.8,15000.0,Distribution,Mixed,99053.0,18.76,68702.0,13.01,30351.0,5.75,44154.0,36798.0,7356.0,0.0,0.0,0.0,0.0,0.0,0.0,99053.0,36798.0,68702.0,31904.0,7356.0,22995.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,,0.0,0.0,351.0,01-0216,"188 FITCH RD, CLINTON, MA",,,0.0,0.0,,2019-07-23 04:16:29
715,NE,Massachusetts,Massachusetts Electric,1.0,Central,351.0,Clinton,379155720,FITCH RD.,216,05_01_216W5,216W5,13.8,15000.0,Distribution,Mixed,99252.0,18.8,78014.0,14.78,21238.0,4.0200000000000005,49328.0,40764.0,8564.0,0.0,0.0,0.0,0.0,0.0,0.0,99252.0,40764.0,78014.0,37250.0,8564.0,12674.0,0.0,0.0,0.0,0.0,0.0,0.0,3107.0,,0.0,0.0,351.0,01-0216,"188 FITCH RD, CLINTON, MA",,,0.0,0.0,,2019-07-23 04:16:29
716,NE,Massachusetts,Massachusetts Electric,1.0,Central,351.0,Clinton,379155720,FITCH RD.,216,05_01_216W6,216W6,13.8,15000.0,Distribution,Mixed,260035.0,49.25,205849.0,38.99,54186.0,10.26,70133.0,66515.0,3618.0,17313.0,0.0,17266.0,16967.0,0.0,47.0,242722.0,66515.0,188583.0,122068.0,3618.0,50521.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0,,0.0,0.0,351.0,01-0216,"188 FITCH RD, CLINTON, MA",,,0.0,0.0,,2019-07-23 04:16:29
717,NE,Massachusetts,Massachusetts Electric,1.0,Central,198.0,Sterling,379155724,PRATTS JUNC.,225,05_01_225W1,225W1,13.8,15000.0,Distribution,Mixed,340006.0,64.4,256378.0,48.56,83628.0,15.84,138797.0,127840.0,10957.0,29376.0,2270.0,24069.0,21799.0,147.0,5160.0,310380.0,125570.0,232059.0,106489.0,10810.0,67511.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,,0.0,0.0,198.0,01-0225,"26 PRATTS JCT RD, STERLING, MA",,,-71.738991,42.471325,,2019-07-23 04:16:29
718,NE,Massachusetts,Massachusetts Electric,1.0,Central,198.0,Sterling,379155724,PRATTS JUNC.,225,05_01_225W2,225W2,13.8,15000.0,Distribution,OH,31285.0,5.93,31211.0,5.91,74.0,0.01,31285.0,31211.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,31285.0,31211.0,31211.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,198.0,01-0225,"26 PRATTS JCT RD, STERLING, MA",,,-71.738991,42.471325,,2019-07-23 04:16:29
