,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
188,1,Central,2003,05_01_6J305,81.25
189,1,Central,2003,05_01_6J312,241.5
190,1,Central,2003,05_01_6J316,164.5
191,1,Central,2003,05_01_6J318,694.3333333333334
192,1,Central,2003,05_01_6J319,389.6666666666667
193,1,Central,2003,05_01_6J326,1117.5
194,1,Central,2003,05_01_6J342,608.0
195,1,Central,2003,05_01_6J356,486.0833333333333
196,1,Central,2003,05_01_6W1,1647.4166666666667
197,1,Central,2003,05_01_6W2,3108.0
198,1,Central,2003,05_01_7J386,662.6666666666666
199,1,Central,2003,05_01_7J387,382.8333333333333
200,1,Central,2003,05_01_8H8,0.0
201,1,Central,2003,05_01_8H8000,0.0
202,1,Central,2003,05_01_8J364,302.9166666666667
203,1,Central,2003,05_01_8J365,1505.4166666666667
204,1,Central,2003,05_01_8J389,868.0
205,1,Central,2003,05_01_8J99,0.0
206,1,Central,2003,05_01_8W1,2608.75
207,1,Central,2003,05_01_8W2,1686.0833333333333
208,1,Central,2003,05_01_8W8,0.0
209,1,Central,2003,05_01_9999W9999,5.25
210,1,Central,2003,05_01_9J301,47.833333333333336
211,1,Central,2003,05_01_9J302,319.75
212,1,Central,2003,05_01_9J303,258.25
213,1,Central,2003,05_01_9J306,939.5
214,1,Central,2003,05_01_9J307,642.75
215,1,Central,2003,05_01_9J310,717.9166666666666
216,1,Central,2003,05_01_9J315,316.75
217,1,Central,2003,05_01_9J320,0.0
218,1,Central,2003,05_01_9J321,872.9166666666666
219,1,Central,2003,05_01_9J327,31.0
220,1,Central,2003,05_01_9J329,248.0
221,1,Central,2003,05_01_9J337,1086.5
222,1,Central,2003,05_01_9J352,842.5
223,1,Central,2003,05_01_9J360,1067.4166666666667
224,1,Central,2003,05_01_9J382,0.5833333333333334
225,1,Central,2003,05_01_HT,0.0
226,1,Central,2003,05_01_HT1,0.0
227,1,Central,2003,05_01_HT10,0.0
228,1,Central,2003,05_01_HT10A,0.0
229,1,Central,2003,05_01_HT11,34.666666666666664
230,1,Central,2003,05_01_HT12,0.0
231,1,Central,2003,05_01_HT13,0.0
232,1,Central,2003,05_01_HT14,18.333333333333332
233,1,Central,2003,05_01_HT15,155.08333333333334
234,1,Central,2003,05_01_HT16,0.0
235,1,Central,2003,05_01_HT17,17.416666666666668
236,1,Central,2003,05_01_HT18,0.0
237,1,Central,2003,05_01_HT19,0.0
238,1,Central,2003,05_01_HT2,33.25
239,1,Central,2003,05_01_HT20,210.66666666666666
240,1,Central,2003,05_01_HT21,0.0
241,1,Central,2003,05_01_HT22,59.083333333333336
242,1,Central,2003,05_01_HT23,0.5
243,1,Central,2003,05_01_HT24,0.6666666666666666
244,1,Central,2003,05_01_HT25,0.0
245,1,Central,2003,05_01_HT26,4.166666666666667
246,1,Central,2003,05_01_HT27,7.5
247,1,Central,2003,05_01_HT28,0.6666666666666666
248,1,Central,2003,05_01_HT29,0.0
249,1,Central,2003,05_01_HT3,7.0
250,1,Central,2003,05_01_HT31,0.9166666666666666
251,1,Central,2003,05_01_HT32,69.41666666666667
252,1,Central,2003,05_01_HT36,0.0
253,1,Central,2003,05_01_HT37,0.9166666666666666
254,1,Central,2003,05_01_HT38,1.0
255,1,Central,2003,05_01_HT39,19.083333333333332
256,1,Central,2003,05_01_HT4,13.583333333333334
257,1,Central,2003,05_01_HT40,0.0
258,1,Central,2003,05_01_HT41,157.91666666666666
