SOURCE_IND,STATE_NAME,COMPANY_NAME,BRKR_DISTRICT_CODE,BRKR_DISTRICT_NAME,BRKR_TAX_DIST_CODE,BRKR_TAX_DIST_NAME,SUBSTATION_ID,SUBSTATION_NAME,SUB_NUMBER,MASTER_CDF,FEEDER_NUMBER,OPERATING_VOLTAGE,EFFECTIVE_KV_CLASS,CIRCUIT_USE,CONSTRUCTION_CLASS,TOT_CKT_LNGTH_FT,TOT_CKT_LNGTH_MI,TOT_OH_LNGTH_FT,TOT_OH_LNGTH_MI,TOT_UG_LNGTH_FT,TOT_UG_LNGTH_MI,TOT_3PHS_LNGTH_FT,TOT_3PHS_OH_LNGTH_FT,TOT_3PHE_UG_LNGTH_FT,TOT_5KV_LNGTH_FT,TOT_5KV_OH_3PHS_LNGTH_FT,TOT_5KV_OH_LNGTH,TOT_5KV_OH_OT_LNGTH_FT,TOT_5KV_UG_3PHS_LNGTH_FT,TOT_5KV_UG_OT_LNGTH_FT,TOT_15KV_LNGTH_FT,TOT_15KV_OH_3_PHS_LNGTH_FT,TOT_15KV_OH_LNGTH_FT,TOT_15KV_OH_OT_LNGTH_FT,TOT_15KV_UG_3PHS_LNGTH_FT,TOT_15KV_UG_OT_LNGTH_FT,TOT_OVR15KV_LNGTH_FT,TOT_OVR15KV_OH_3PHS_LNGTH_FT,TOT_OVR15KV_OH_LNGTH,TOT_OVR15KV_OH_OT_LNGTH_FT,TOT_OVR15KV_UG_3PHS_LNGTH_FT,TOT_OVR15KV_UG_OT_LNGTH_FT,CUSTOMERS_SERVED,BREAKER_SETTING,TRA_NOM_CA,SUB_NOM_VOLTGE,SUB_TAX_DIST,EAP_SUB_ID,SUB_STR_ADDRESS,STA_CONFIG,STA_REGLTN,SUB_LONG,SUB_LAT,SUB_GPS_DATE,TBL_LOAD_DATE
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581424,SYKES RD. SUB,521,05_05_28W50,28W50,13.8,15000.0,Distribution,Mixed,103868.0,19.67,79479.0,15.05,24389.0,4.62,62569.0,41815.0,20754.0,0.0,0.0,0.0,0.0,0.0,0.0,103868.0,41815.0,79479.0,37664.0,20754.0,3635.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,,0.0,0.0,0262,05-0028,"521 SYKES RD, FALL RIVER, MA",,,-71.115273,41.740444,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0262,Fall River,13581424,SYKES RD. SUB,521,05_05_28W51,28W51,13.8,15000.0,Distribution,Mixed,58848.0,11.15,19107.0,3.62,39741.0,7.53,46418.0,17299.0,29119.0,0.0,0.0,0.0,0.0,0.0,0.0,58848.0,17299.0,19107.0,1808.0,29119.0,10622.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,,0.0,0.0,0262,05-0028,"521 SYKES RD, FALL RIVER, MA",,,-71.115273,41.740444,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_1J1,1J1,4.16,5000.0,Distribution,OH,22553.0,4.2700000000000005,18825.0,3.5700000000000003,3728.0,0.71,12070.0,8747.0,3323.0,22553.0,8747.0,18825.0,9701.0,3323.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_1J2,1J2,4.16,5000.0,Distribution,Mixed,11616.0,2.2,3953.0,0.75,7663.0,1.45,11616.0,3953.0,7663.0,11616.0,3953.0,3953.0,0.0,7663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_1J3,1J3,4.16,5000.0,Distribution,Mixed,25243.0,4.78,15755.0,2.98,9488.0,1.8,17992.0,10031.0,7961.0,24597.0,10031.0,15363.0,5332.0,7707.0,1487.0,646.0,0.0,392.0,392.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_1J4,1J4,4.16,5000.0,Distribution,OH,31378.0,5.94,29845.0,5.65,1533.0,0.29,22890.0,21883.0,1007.0,31378.0,21883.0,29845.0,7962.0,1007.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_2248,2248,23.0,20000.0,Sub-Transmission,OH,61047.0,11.56,61047.0,11.56,0.0,0.0,61047.0,61047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61047.0,61047.0,61047.0,0.0,0.0,0.0,0.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_2274,2274,23.0,20000.0,Sub-Transmission,OH,40384.0,7.65,40384.0,7.65,0.0,0.0,40384.0,40384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40384.0,40384.0,40384.0,0.0,0.0,0.0,,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_2278,2278,23.0,20000.0,Sub-Transmission,OH,70917.0,13.43,70764.0,13.4,153.0,0.03,70917.0,70764.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70917.0,70764.0,70764.0,0.0,153.0,0.0,0.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
NE,Massachusetts,Massachusetts Electric,05,Southeast,0271,Attleboro,13581432,WEST STREET,1,05_05_24,24,23.0,20000.0,Distribution,OH,41159.0,7.8,40926.0,7.75,233.0,0.04,41159.0,40926.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41159.0,40926.0,40926.0,0.0,233.0,0.0,1.0,,0.0,0.0,0271,05-0001,"87 WEST ST, ATTLEBORO, MA",,,-71.298424,41.952037999999995,,2019-07-23 04:16:29
